id,lastUpdated,clinic_type,queue,wait_time,treat_time,total_time
BELWIC,2024-10-15T22:39:30.171+11:00,WIC,0,0:54,0:46,1:40
GUNWIC,2024-10-15T22:39:30.171+11:00,WIC,0,1:19,0:37,1:56
DICWIC,2024-10-15T22:39:30.171+11:00,WIC,0,1:06,0:44,1:50
TUGWIC,2024-10-15T22:39:30.171+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:39:30.171+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:39:00.000+11:00,ED,22,3:38,2:41,6:19
NORHOSED,2024-10-15T22:39:00.000+11:00,ED,14,2:41,3:01,5:42
BELWIC,2024-10-15T22:40:30.150+11:00,WIC,0,0:54,0:47,1:41
GUNWIC,2024-10-15T22:40:30.150+11:00,WIC,0,1:19,0:38,1:57
DICWIC,2024-10-15T22:40:30.150+11:00,WIC,0,1:06,0:45,1:51
TUGWIC,2024-10-15T22:40:30.150+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:40:30.150+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:40:00.000+11:00,ED,22,3:38,2:41,6:19
NORHOSED,2024-10-15T22:40:00.000+11:00,ED,14,2:41,3:05,5:46
BELWIC,2024-10-15T22:41:30.142+11:00,WIC,0,0:54,0:48,1:42
GUNWIC,2024-10-15T22:41:30.142+11:00,WIC,0,1:15,0:39,1:54
DICWIC,2024-10-15T22:41:30.142+11:00,WIC,0,1:06,0:46,1:52
TUGWIC,2024-10-15T22:41:30.142+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:41:30.142+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:41:00.000+11:00,ED,23,3:41,2:41,6:22
NORHOSED,2024-10-15T22:41:00.000+11:00,ED,14,2:41,3:05,5:46
BELWIC,2024-10-15T22:42:30.153+11:00,WIC,0,0:54,0:37,1:31
GUNWIC,2024-10-15T22:42:30.153+11:00,WIC,0,1:15,0:40,1:55
DICWIC,2024-10-15T22:42:30.153+11:00,WIC,0,1:07,0:47,1:54
TUGWIC,2024-10-15T22:42:30.153+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:42:30.153+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:42:00.000+11:00,ED,24,3:44,2:41,6:25
NORHOSED,2024-10-15T22:42:00.000+11:00,ED,14,2:37,3:05,5:42
BELWIC,2024-10-15T22:43:30.144+11:00,WIC,0,0:54,0:38,1:32
GUNWIC,2024-10-15T22:43:30.144+11:00,WIC,0,1:15,0:41,1:56
DICWIC,2024-10-15T22:43:30.144+11:00,WIC,0,1:07,0:48,1:55
TUGWIC,2024-10-15T22:43:30.144+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:43:30.144+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:43:00.000+11:00,ED,24,3:44,2:41,6:25
NORHOSED,2024-10-15T22:43:00.000+11:00,ED,14,2:37,3:05,5:42
BELWIC,2024-10-15T22:44:30.152+11:00,WIC,0,0:54,0:39,1:33
GUNWIC,2024-10-15T22:44:30.152+11:00,WIC,0,1:09,0:42,1:51
DICWIC,2024-10-15T22:44:30.152+11:00,WIC,0,1:07,0:49,1:56
TUGWIC,2024-10-15T22:44:30.152+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:44:30.152+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:44:00.000+11:00,ED,24,3:47,2:41,6:28
NORHOSED,2024-10-15T22:44:00.000+11:00,ED,14,2:37,3:09,5:46
BELWIC,2024-10-15T22:45:30.144+11:00,WIC,0,0:54,0:40,1:34
GUNWIC,2024-10-15T22:45:30.144+11:00,WIC,0,1:09,0:43,1:52
DICWIC,2024-10-15T22:45:30.144+11:00,WIC,0,1:07,0:50,1:57
TUGWIC,2024-10-15T22:45:30.144+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:45:30.144+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:45:00.000+11:00,ED,23,3:47,2:43,6:30
NORHOSED,2024-10-15T22:45:00.000+11:00,ED,14,2:37,3:13,5:50
BELWIC,2024-10-15T22:46:30.155+11:00,WIC,0,0:54,0:41,1:35
GUNWIC,2024-10-15T22:46:30.155+11:00,WIC,0,1:09,0:44,1:53
DICWIC,2024-10-15T22:46:30.155+11:00,WIC,0,1:07,0:51,1:58
TUGWIC,2024-10-15T22:46:30.155+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:46:30.155+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:46:00.000+11:00,ED,23,3:47,2:43,6:30
NORHOSED,2024-10-15T22:46:00.000+11:00,ED,14,2:37,3:13,5:50
BELWIC,2024-10-15T22:47:30.149+11:00,WIC,0,0:54,0:42,1:36
GUNWIC,2024-10-15T22:47:30.149+11:00,WIC,0,1:09,0:45,1:54
DICWIC,2024-10-15T22:47:30.149+11:00,WIC,0,1:07,0:52,1:59
TUGWIC,2024-10-15T22:47:30.149+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:47:30.149+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:47:00.000+11:00,ED,23,3:47,2:43,6:30
NORHOSED,2024-10-15T22:47:00.000+11:00,ED,14,2:37,3:13,5:50
BELWIC,2024-10-15T22:48:30.153+11:00,WIC,0,0:54,0:43,1:37
GUNWIC,2024-10-15T22:48:30.153+11:00,WIC,0,1:09,0:46,1:55
DICWIC,2024-10-15T22:48:30.153+11:00,WIC,0,1:07,0:53,2:00
TUGWIC,2024-10-15T22:48:30.153+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:48:30.153+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:48:00.000+11:00,ED,22,3:47,2:43,6:30
NORHOSED,2024-10-15T22:48:00.000+11:00,ED,14,2:37,3:08,5:45
BELWIC,2024-10-15T22:49:30.151+11:00,WIC,0,0:54,0:44,1:38
GUNWIC,2024-10-15T22:49:30.151+11:00,WIC,0,1:09,0:47,1:56
DICWIC,2024-10-15T22:49:30.151+11:00,WIC,0,1:12,0:54,2:06
TUGWIC,2024-10-15T22:49:30.151+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:49:30.151+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:49:00.000+11:00,ED,22,3:47,2:47,6:34
NORHOSED,2024-10-15T22:49:00.000+11:00,ED,14,2:37,3:08,5:45
BELWIC,2024-10-15T22:50:30.143+11:00,WIC,0,0:54,0:45,1:39
GUNWIC,2024-10-15T22:50:30.143+11:00,WIC,0,1:09,0:48,1:57
DICWIC,2024-10-15T22:50:30.143+11:00,WIC,0,1:12,0:55,2:07
TUGWIC,2024-10-15T22:50:30.143+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:50:30.143+11:00,WIC,0,0:40,0:00,0:40
CBRHOSED,2024-10-15T22:50:00.000+11:00,ED,21,3:44,2:39,6:23
NORHOSED,2024-10-15T22:50:00.000+11:00,ED,14,2:33,3:08,5:41
BELWIC,2024-10-15T22:51:30.150+11:00,WIC,0,0:54,0:46,1:40
GUNWIC,2024-10-15T22:51:30.150+11:00,WIC,0,1:09,0:49,1:58
DICWIC,2024-10-15T22:51:30.150+11:00,WIC,0,1:12,0:56,2:08
TUGWIC,2024-10-15T22:51:30.150+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:51:30.150+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T22:51:00.000+11:00,ED,21,3:41,2:33,6:14
NORHOSED,2024-10-15T22:51:00.000+11:00,ED,15,2:37,3:10,5:47
BELWIC,2024-10-15T22:52:30.141+11:00,WIC,0,0:54,0:47,1:41
GUNWIC,2024-10-15T22:52:30.141+11:00,WIC,0,1:09,0:50,1:59
DICWIC,2024-10-15T22:52:30.141+11:00,WIC,0,1:12,0:57,2:09
TUGWIC,2024-10-15T22:52:30.141+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:52:30.141+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T22:52:00.000+11:00,ED,20,3:41,2:33,6:14
NORHOSED,2024-10-15T22:52:00.000+11:00,ED,15,2:37,3:10,5:47
BELWIC,2024-10-15T22:53:30.145+11:00,WIC,0,0:54,0:48,1:42
GUNWIC,2024-10-15T22:53:30.145+11:00,WIC,0,1:09,0:51,2:00
DICWIC,2024-10-15T22:53:30.145+11:00,WIC,0,1:12,0:58,2:10
TUGWIC,2024-10-15T22:53:30.145+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:53:30.145+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T22:53:00.000+11:00,ED,20,3:34,2:38,6:12
NORHOSED,2024-10-15T22:53:00.000+11:00,ED,15,2:37,3:13,5:50
BELWIC,2024-10-15T22:54:30.146+11:00,WIC,0,0:54,0:49,1:43
GUNWIC,2024-10-15T22:54:30.146+11:00,WIC,0,1:09,0:43,1:52
DICWIC,2024-10-15T22:54:30.146+11:00,WIC,0,1:12,0:59,2:11
TUGWIC,2024-10-15T22:54:30.146+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:54:30.146+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T22:54:00.000+11:00,ED,20,3:34,2:40,6:14
NORHOSED,2024-10-15T22:54:00.000+11:00,ED,14,2:33,3:13,5:46
BELWIC,2024-10-15T22:55:30.137+11:00,WIC,0,0:54,0:50,1:44
GUNWIC,2024-10-15T22:55:30.137+11:00,WIC,0,1:09,0:44,1:53
DICWIC,2024-10-15T22:55:30.137+11:00,WIC,0,1:12,1:00,2:12
TUGWIC,2024-10-15T22:55:30.137+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:55:30.137+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T22:55:00.000+11:00,ED,20,3:34,2:40,6:14
NORHOSED,2024-10-15T22:55:00.000+11:00,ED,14,2:33,3:13,5:46
id,lastUpdated,clinic_type,queue,wait_time,treat_time,total_time
BELWIC,2024-10-15T22:56:30.158+11:00,WIC,0,0:54,0:51,1:45
GUNWIC,2024-10-15T22:56:30.158+11:00,WIC,0,1:09,0:45,1:54
DICWIC,2024-10-15T22:56:30.158+11:00,WIC,0,1:17,0:00,1:17
TUGWIC,2024-10-15T22:56:30.158+11:00,WIC,0,0:39,0:00,0:39
WECWIC,2024-10-15T22:56:30.158+11:00,WIC,0,0:41,0:00,0:41
CBRHOSED,2024-10-15T22:56:00.000+11:00,ED,19,3:31,2:44,6:15
NORHOSED,2024-10-15T22:56:00.000+11:00,ED,14,2:33,3:13,5:46
